Longitude,Latitude,,
-102.49962,52.027281,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0810<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.08117,34.496373,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0810<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.0714,34.496373,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0810<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.06408,34.498815,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0810<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.05676,34.496373,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0810<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.051,34.49805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.04514,34.49805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.04319,34.49805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-111.03928,34.500004,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-116.28342,46.929698,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-116.21702,46.921885,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-115.79709,46.902354,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-115.79905,46.90626,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-115.79709,46.910166,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-116.19553,47.179698,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.46725,36.269725,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.47897,36.283397,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.4946,36.29121,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.51999,36.306835,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.51413,36.320507,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.49264,36.326366,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-118.53366,36.338085,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.58053,37.607617,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.57077,37.631054,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.56686,37.660351,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.57077,37.660351,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.58249,37.679882,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.58835,37.687695,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-120.00632,38.343945,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-120.00632,38.351758,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-119.92428,38.125195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-120.28952,38.849805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.22116,38.26582,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.21335,38.258008,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.19577,38.287305,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.20163,38.289258,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.18991,38.300976,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.19968,38.33418,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.20944,38.33418,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.20163,38.349805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.19382,38.308789,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.20358,38.371289,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.20944,38.381055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.22116,38.402539,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.22507,38.410351,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.26999,38.425977,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.27975,38.425977,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.29733,38.435742,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.311,38.435742,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.33444,38.439648,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.3403,38.439648,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.32663,38.445508,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.31882,38.404492,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.41257,38.285351,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.41257,38.293164,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.44382,38.32832,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.44577,38.345898,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.44382,38.349805,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.4946,38.353711,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.48093,38.375195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.48874,38.375195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.4985,38.375195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.48874,38.381055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.49069,38.384961,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.49265,38.39082,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.4985,38.39668,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.50436,38.394726,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.51804,38.369336,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54147,38.381055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54929,38.377148,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54929,38.429883,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.55515,38.431836,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54147,38.431836,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54538,38.435742,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
